sep=;
time;model_id;model_name;port_name;data
0;1;server;;{phase: passive, waiting: false, queue_size: 0, current_job: 0}
0;2;db_stream;;2
0;3;job_stream;;0.1
0.1;1;server;;{phase: active, waiting: false, queue_size: 1, current_job: 1}
0.1;3;job_stream;out;1
0.1;3;job_stream;;0.1
0.2;1;server;;{phase: active, waiting: false, queue_size: 2, current_job: 1}
0.2;3;job_stream;out;2
0.2;3;job_stream;;0.1
0.3;1;server;;{phase: active, waiting: false, queue_size: 3, current_job: 1}
0.3;3;job_stream;out;3
0.3;3;job_stream;;inf
1.95786;1;server;server_out2;1
1.95786;1;server;;{phase: passive, waiting: true, queue_size: 2, current_job: 1}
2;1;server;;{phase: active, waiting: true, queue_size: 2, current_job: 1}
2;2;db_stream;out;1
2;2;db_stream;;3
2;1;server;server_out1;1
2;1;server;;{phase: active, waiting: false, queue_size: 2, current_job: 2}
2.04618;1;server;server_out2;1
2.04618;1;server;;{phase: passive, waiting: true, queue_size: 1, current_job: 2}
5;1;server;;{phase: active, waiting: true, queue_size: 1, current_job: 2}
5;2;db_stream;out;2
5;2;db_stream;;inf
5;1;server;server_out1;2
5;1;server;;{phase: active, waiting: false, queue_size: 1, current_job: 3}
5.29452;1;server;server_out2;1
5.29452;1;server;;{phase: passive, waiting: true, queue_size: 0, current_job: 3}
5.29452;1;server;;{phase: passive, waiting: true, queue_size: 0, current_job: 3}
5.29452;2;db_stream;;inf
5.29452;3;job_stream;;inf
